"test_name","status","execution_time","duration_ms","error_message"
"getTodos_status200","PASS","2025-09-08T22:43:18.2999684","2671",""
"invalidEndpoint_404","PASS","2025-09-08T22:43:18.6520521","3037",""
"getComments_post1","PASS","2025-09-08T22:43:18.923045","3312",""
"getAlbums_status200","PASS","2025-09-08T22:43:19.5363375","3928",""
"createPost_returns201","PASS","2025-09-08T22:43:19.550345","3937",""
"getPostById_1","PASS","2025-09-08T22:43:19.5646426","3955",""
"getUserById_1","PASS","2025-09-08T22:43:19.5646426","3955",""
"checkPostTitleNotEmpty","PASS","2025-09-08T22:43:19.5686436","3959",""
"getPosts_status200","PASS","2025-09-08T22:43:20.4987553","4887",""
"navigateToAboutMozilla","FAIL","2025-09-08T22:43:28.0017446","3744","java.lang.AssertionError: expected [true] but found [false]"
"openWikipedia","PASS","2025-09-08T22:43:28.8311237","4880",""
"openExampleDotCom","PASS","2025-09-08T22:43:30.5106058","6989",""
"openBing","PASS","2025-09-08T22:43:30.7540465","7239",""
"openGoogle_checkTitle","PASS","2025-09-08T22:43:34.8096288","10768",""
"getUsers_status200","PASS","2025-09-08T22:43:34.9225165","19315",""
"openYahoo","PASS","2025-09-08T22:45:05.3414514","101420",""
"openJsonPlaceholderHome","PASS","2025-09-08T22:45:11.6956905","107751",""
"openDomainDotCom","PASS","2025-09-08T22:45:11.9747925","108465",""
"openStackOverflow","FAIL","2025-09-08T22:45:24.1261228","120611","java.lang.AssertionError: expected [true] but found [false]"
"openGithub_home","PASS","2025-09-08T22:46:12.5300012","169021",""
"getTodos_status200","PASS","2025-09-08T23:01:21.1846049","6034",""
"getPosts_status200","PASS","2025-09-08T23:01:21.1896038","6033",""
"getAlbums_status200","PASS","2025-09-08T23:01:21.1886038","6031",""
"getUsers_status200","PASS","2025-09-08T23:01:21.1886038","6033",""
"invalidEndpoint_404","PASS","2025-09-08T23:01:21.1886038","6035",""
"createPost_returns201","PASS","2025-09-08T23:01:21.2166032","6088",""
"getComments_post1","PASS","2025-09-08T23:01:21.5669027","6425",""
"openBing","PASS","2025-09-08T23:01:22.6018894","1186",""
"getPostById_1","PASS","2025-09-08T23:01:22.8853002","7751",""
"getUserById_1","PASS","2025-09-08T23:01:22.8882895","7749",""
"checkPostTitleNotEmpty","PASS","2025-09-08T23:01:22.8972883","7760",""
"openExampleDotCom","PASS","2025-09-08T23:01:30.468802","8894",""
"openWikipedia","PASS","2025-09-08T23:01:36.327077","14887",""
"openJsonPlaceholderHome","PASS","2025-09-08T23:01:58.1684952","36734",""
"openGoogle_checkTitle","PASS","2025-09-08T23:02:02.459102","41043",""
"navigateToAboutMozilla","PASS","2025-09-08T23:02:24.0667011","62492",""
"openDomainDotCom","PASS","2025-09-08T23:02:28.5367201","67121",""
"openGithub_home","PASS","2025-09-08T23:03:35.7026739","134276",""
"openYahoo","PASS","2025-09-08T23:03:53.815884","152332",""
